method_a,method_b,change_category,method_a_change_type,method_b_change_type,method_a_similarity,method_b_similarity
104c8c6362af2bce2bc28d5533d447f7,9dfbf70f9a95c4a68e4c158372e2f0db,pair_dissolved_naturally,exact,exact,1.0,1.0
107d0aca2eb704af86f51068c20af388,d1303c4af02d70548bf158a51d947ef2,pair_dissolved_by_refactoring,renamed,renamed,0.96,0.96
10a93a848a4c554e285b9183a6811781,7c365cc6541d1d378d49deb6317e82b9,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.96,0.73
10a93a848a4c554e285b9183a6811781,bdd1c572b2e4d992fe62907d45eda717,pair_dissolved_by_refactoring,signature_changed,exact,0.96,1.0
10b4bfac0ce3b8516f74fdfd0a4a372e,3a547160d58c91b5643a36f8382138aa,pair_dissolved_by_refactoring,signature_changed,exact,0.93,1.0
10b4bfac0ce3b8516f74fdfd0a4a372e,e81c6190ae1f62b04694ba04fb48e4fb,pair_dissolved_by_refactoring,signature_changed,exact,0.93,1.0
10f4a9d5f1cfef3d6737b8262bb74737,d7e4b43b0ebdcc0db340fcc4ff206d41,pair_dissolved_naturally,exact,exact,1.0,1.0
11014a9fc3733cd8a65051952c775bd5,a7d02ef9cb621d2f00437a931c6710f3,pair_dissolved_by_refactoring,signature_changed,signature_changed,0.87,0.82
1102128b42e79e6b80e16818c37f7ef9,703c15a542e2ecd05eafce04a2cb3ed9,method_a_deleted,deleted,exact,,1.0
110301f3d7133ca940d48608301fa7ff,c3bf1dfa3d2360438e2aefa9e6cea31f,pair_dissolved_naturally,exact,exact,1.0,1.0
11321e28a104030078278b1d4cdbee34,cce8e3d4832e0a2b0bf799a7f8a88e34,pair_dissolved_naturally,exact,exact,1.0,1.0
11321e28a104030078278b1d4cdbee34,d419e1a661ce9313a6b881b3842d4d51,pair_dissolved_naturally,exact,exact,1.0,1.0
117272c91fd5d6e69e97f5001b9d58ba,48c48e198bc454318d8e7cdd81b16b10,pair_dissolved_naturally,exact,exact,1.0,1.0
117272c91fd5d6e69e97f5001b9d58ba,a7cd1417a2cc44f52accc5d3f6b24290,pair_dissolved_naturally,exact,exact,1.0,1.0
118cd7647225836f726fccd89abe60f5,21e5db3e0519150e0638295e45f4dfe2,pair_dissolved_by_refactoring,refactored,refactored,0.86,0.82
