/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,8,16,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,222,229,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,24,31,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,52,63,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,32,40,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,222,229,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,128,137,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,199,206,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,56,64,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,222,229,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,80,88,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,222,229,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,104,112,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,222,229,setup,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[]
/app/Repos/pandas/bench/bench_with_subset.py,24,30,bench_with,None,[n:Any;times:Any;repeat:Any;engine:Any],/app/Repos/pandas/bench/bench_with_subset.py,33,39,bench_subset,None,[n:Any;times:Any;repeat:Any;engine:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,32,40,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,104,112,setup,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,48,56,algo3_nosort,None,[],/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,56,64,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,104,112,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,80,88,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/hdfstore_bench.py,104,112,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,7,17,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,24,31,setup,None,[self:Any]
/app/Repos/pandas/bench/bench_unique.py,56,63,algo3_sort,None,[],/app/Repos/pandas/bench/bench_unique.py,88,96,f2,None,[]
/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,38,45,setup,None,[self:Any],/app/Repos/pandas/asv_bench/benchmarks/panel_ctor.py,52,63,setup,None,[self:Any]
/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,19,26,get_period_count,None,[self:Any;start_date:Any;off:Any],/app/Repos/pandas/asv_bench/benchmarks/frame_ctor.py,42,49,get_period_count,None,[self:Any;start_date:Any;off:Any]
