pair_id,file1,start1,end1,file2,start2,end2,is_first_occurrence,pair_hash
37,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,244,258,/app/Repos/pandas/doc/sphinxext/numpydoc/compiler_unparse.py,326,338,True,17db88b2474bfce4e330e8508a220fd9
38,/app/Repos/pandas/scripts/file_sizes.py,157,176,/app/Repos/pandas/scripts/file_sizes.py,176,189,True,2d12eca226893c97800e4f8e65c9795b
39,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,191,246,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,201,212,True,b55e3ff6bcf92c8d83d05c5979b6523e
40,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,388,406,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,388,406,True,a5e3d337ffe92d5b4ad26500f589fcf2
41,/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,137,146,/app/Repos/pandas/doc/sphinxext/numpydoc/tests/test_docscrape.py,146,153,True,faf9a9ef7ceb5bb16812d7b0a56d7194
42,/app/Repos/pandas/scripts/bench_join.py,85,93,/app/Repos/pandas/scripts/bench_join.py,93,105,True,b0fa75a5b6a088d2b5f6e07c3a3b1aa4
43,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,332,345,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,332,345,True,23b3643ba818cf614d6c990e7b82931f
44,/app/Repos/pandas/pandas/tools/rplot.py,399,428,/app/Repos/pandas/pandas/tools/rplot.py,510,535,True,a6a668fe3da2d80cede5fe2e0dcb8de4
43,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,332,345,/app/Repos/pandas/doc/sphinxext/numpydoc/docscrape.py,332,345,False,23b3643ba818cf614d6c990e7b82931f
45,/app/Repos/pandas/pandas/tools/rplot.py,484,506,/app/Repos/pandas/pandas/tools/rplot.py,510,535,True,cc1520cd7d0ca653b889b5c76af9043c
46,/app/Repos/pandas/scripts/testmed.py,45,71,/app/Repos/pandas/scripts/testmed.py,71,92,True,824a8e5c64503e49270390ff38597bd7
