group_id,group_size,avg_similarity,total_methods,deleted_count,deleted_ratio,is_fully_deleted,is_partially_deleted,is_surviving
1071,2,83.0,2,0,0.0,False,False,True
1076,2,81.0,2,0,0.0,False,False,True
423,3,70.0,3,0,0.0,False,False,True
1075,2,81.0,2,0,0.0,False,False,True
32,10,79.66666666666667,10,0,0.0,False,False,True
1033,2,80.0,2,0,0.0,False,False,True
428,3,81.0,3,0,0.0,False,False,True
1042,2,93.0,2,0,0.0,False,False,True
1034,2,88.0,2,0,0.0,False,False,True
79,7,84.71428571428571,8,2,0.25,False,True,False
1029,2,77.0,2,0,0.0,False,False,True
1035,2,92.0,2,0,0.0,False,False,True
1064,2,82.0,2,0,0.0,False,False,True
1582,1,0.0,2,0,0.0,False,False,True
1580,1,0.0,2,0,0.0,False,False,True
424,3,73.5,3,0,0.0,False,False,True
1090,2,70.0,2,0,0.0,False,False,True
1043,2,83.0,2,0,0.0,False,False,True
442,3,87.5,3,0,0.0,False,False,True
1078,2,70.0,2,0,0.0,False,False,True
1079,2,81.0,2,0,0.0,False,False,True
243,4,98.0,4,0,0.0,False,False,True
1091,2,88.0,2,0,0.0,False,False,True
1056,2,95.0,2,0,0.0,False,False,True
1044,2,89.0,2,0,0.0,False,False,True
1036,2,72.0,2,0,0.0,False,False,True
429,3,80.0,3,0,0.0,False,False,True
151,5,83.2,5,0,0.0,False,False,True
147,5,75.71428571428571,5,0,0.0,False,False,True
1037,2,88.0,2,0,0.0,False,False,True
1089,2,84.0,2,0,0.0,False,False,True
1030,2,85.0,2,0,0.0,False,False,True
1057,2,100.0,2,0,0.0,False,False,True
1093,2,81.0,2,0,0.0,False,False,True
1038,2,72.0,2,0,0.0,False,False,True
430,3,82.5,3,0,0.0,False,False,True
438,3,81.0,3,3,1.0,True,False,False
427,3,88.33333333333333,3,2,0.6666666666666666,False,True,False
1046,2,78.0,2,0,0.0,False,False,True
1065,2,80.0,2,0,0.0,False,False,True
1094,2,88.0,2,0,0.0,False,False,True
1058,2,70.0,2,0,0.0,False,False,True
432,3,79.0,3,0,0.0,False,False,True
1059,2,81.0,2,0,0.0,False,False,True
149,5,77.5,5,0,0.0,False,False,True
443,3,80.0,3,0,0.0,False,False,True
76,7,72.66666666666667,7,1,0.14285714285714285,False,True,False
431,3,81.66666666666667,3,0,0.0,False,False,True
152,5,90.2,5,0,0.0,False,False,True
246,4,90.5,4,0,0.0,False,False,True
77,7,82.18181818181819,7,0,0.0,False,False,True
10,20,77.49019607843137,20,1,0.05,False,True,False
244,4,84.83333333333333,4,0,0.0,False,False,True
1039,2,90.0,2,0,0.0,False,False,True
1099,2,72.0,2,0,0.0,False,False,True
150,5,78.5,5,0,0.0,False,False,True
1581,1,0.0,2,0,0.0,False,False,True
1047,2,71.0,2,0,0.0,False,False,True
1092,2,96.0,2,0,0.0,False,False,True
1066,2,81.0,2,0,0.0,False,False,True
103,6,78.8,6,0,0.0,False,False,True
1048,2,71.0,2,0,0.0,False,False,True
1060,2,71.0,2,0,0.0,False,False,True
1070,2,83.0,2,0,0.0,False,False,True
1050,2,82.0,2,0,0.0,False,False,True
1061,2,90.0,2,0,0.0,False,False,True
1104,2,81.0,2,0,0.0,False,False,True
1583,1,0.0,2,0,0.0,False,False,True
1067,2,89.0,2,0,0.0,False,False,True
441,3,81.33333333333333,3,0,0.0,False,False,True
1051,2,78.0,2,1,0.5,False,True,False
1103,2,80.0,2,0,0.0,False,False,True
154,5,74.375,5,0,0.0,False,False,True
245,4,87.0,4,0,0.0,False,False,True
58,8,76.375,8,0,0.0,False,False,True
1068,2,90.0,2,0,0.0,False,False,True
1052,2,89.0,2,0,0.0,False,False,True
1108,2,72.0,2,0,0.0,False,False,True
104,6,78.33333333333333,6,0,0.0,False,False,True
435,3,75.33333333333333,3,0,0.0,False,False,True
1053,2,92.0,2,0,0.0,False,False,True
1107,2,84.0,2,0,0.0,False,False,True
1095,2,75.0,2,0,0.0,False,False,True
153,5,74.5,5,0,0.0,False,False,True
1109,2,74.0,2,0,0.0,False,False,True
1069,2,92.0,2,0,0.0,False,False,True
1096,2,84.0,2,0,0.0,False,False,True
437,3,74.5,3,0,0.0,False,False,True
436,3,77.0,3,0,0.0,False,False,True
1097,2,82.0,2,0,0.0,False,False,True
1101,2,100.0,2,0,0.0,False,False,True
444,3,71.33333333333333,3,0,0.0,False,False,True
1105,2,91.0,2,0,0.0,False,False,True
59,8,77.53333333333333,8,0,0.0,False,False,True
1106,2,88.0,2,0,0.0,False,False,True
445,3,84.0,3,0,0.0,False,False,True
1110,2,83.0,2,0,0.0,False,False,True
1121,2,92.0,2,0,0.0,False,False,True
247,4,80.0,4,0,0.0,False,False,True
1122,2,74.0,2,0,0.0,False,False,True
446,3,81.66666666666667,3,0,0.0,False,False,True
1111,2,100.0,2,0,0.0,False,False,True
1126,2,75.0,2,0,0.0,False,False,True
105,6,80.625,6,0,0.0,False,False,True
1116,2,100.0,2,0,0.0,False,False,True
1113,2,76.0,2,0,0.0,False,False,True
1112,2,86.0,2,0,0.0,False,False,True
1165,2,72.0,2,0,0.0,False,False,True
1114,2,85.0,2,0,0.0,False,False,True
1115,2,83.0,2,0,0.0,False,False,True
1124,2,70.0,2,0,0.0,False,False,True
466,3,78.5,3,0,0.0,False,False,True
447,3,95.0,3,0,0.0,False,False,True
11,20,78.46666666666667,20,0,0.0,False,False,True
1118,2,92.0,2,0,0.0,False,False,True
43,9,78.16666666666667,9,4,0.4444444444444444,False,True,False
248,4,95.66666666666669,4,0,0.0,False,False,True
1127,2,86.0,2,2,1.0,True,False,False
1187,2,77.0,2,0,0.0,False,False,True
453,3,71.0,3,0,0.0,False,False,True
1117,2,100.0,2,0,0.0,False,False,True
450,3,98.66666666666669,3,0,0.0,False,False,True
1138,2,76.0,2,0,0.0,False,False,True
1129,2,92.0,2,0,0.0,False,False,True
454,3,100.0,3,3,1.0,True,False,False
448,3,100.0,3,0,0.0,False,False,True
1131,2,100.0,2,2,1.0,True,False,False
1168,2,81.0,2,0,0.0,False,False,True
449,3,88.0,3,3,1.0,True,False,False
1130,2,74.0,2,0,0.0,False,False,True
1119,2,90.0,2,0,0.0,False,False,True
1128,2,90.0,2,0,0.0,False,False,True
1132,2,100.0,2,1,0.5,False,True,False
1120,2,100.0,2,0,0.0,False,False,True
455,3,89.33333333333333,3,0,0.0,False,False,True
467,3,74.66666666666667,3,0,0.0,False,False,True
252,4,79.33333333333333,4,1,0.25,False,True,False
452,3,100.0,3,0,0.0,False,False,True
1133,2,79.0,2,1,0.5,False,True,False
1171,2,72.0,2,0,0.0,False,False,True
1185,2,73.0,2,0,0.0,False,False,True
451,3,83.0,3,0,0.0,False,False,True
156,5,82.7,5,0,0.0,False,False,True
1136,2,91.0,2,0,0.0,False,False,True
1123,2,77.0,2,0,0.0,False,False,True
249,4,84.5,4,0,0.0,False,False,True
1169,2,90.0,2,0,0.0,False,False,True
459,3,88.0,3,0,0.0,False,False,True
1125,2,96.0,2,0,0.0,False,False,True
1139,2,87.0,2,0,0.0,False,False,True
251,4,77.33333333333333,4,0,0.0,False,False,True
155,5,80.5,5,0,0.0,False,False,True
1140,2,86.0,2,0,0.0,False,False,True
457,3,83.66666666666667,3,0,0.0,False,False,True
1144,2,72.0,2,0,0.0,False,False,True
1188,2,71.0,2,0,0.0,False,False,True
1145,2,75.0,2,0,0.0,False,False,True
250,4,91.0,4,0,0.0,False,False,True
255,4,96.33333333333331,4,0,0.0,False,False,True
1142,2,72.0,2,0,0.0,False,False,True
1135,2,73.0,2,0,0.0,False,False,True
469,3,76.66666666666667,3,0,0.0,False,False,True
1167,2,70.0,2,0,0.0,False,False,True
1182,2,77.0,2,0,0.0,False,False,True
107,6,74.0,6,0,0.0,False,False,True
471,3,86.0,3,0,0.0,False,False,True
1154,2,77.0,2,0,0.0,False,False,True
1178,2,93.0,2,0,0.0,False,False,True
1192,2,80.0,2,0,0.0,False,False,True
1134,2,86.0,2,0,0.0,False,False,True
465,3,81.0,3,0,0.0,False,False,True
1137,2,76.0,2,0,0.0,False,False,True
1173,2,75.0,2,0,0.0,False,False,True
1155,2,70.0,2,0,0.0,False,False,True
1143,2,71.0,2,0,0.0,False,False,True
1151,2,71.0,2,0,0.0,False,False,True
1147,2,100.0,2,0,0.0,False,False,True
1149,2,100.0,2,0,0.0,False,False,True
1177,2,100.0,2,0,0.0,False,False,True
1150,2,87.0,2,0,0.0,False,False,True
1194,2,76.0,2,1,0.5,False,True,False
456,3,71.0,3,0,0.0,False,False,True
460,3,83.66666666666667,3,0,0.0,False,False,True
1170,2,73.0,2,0,0.0,False,False,True
1152,2,86.0,2,0,0.0,False,False,True
1148,2,87.0,2,0,0.0,False,False,True
