change_type,method_t_token_hash,method_t1_token_hash,similarity
exact,497fe14fdb21c0593587bbfd0faa6686,497fe14fdb21c0593587bbfd0faa6686,1.000
exact,7e54ef51c48db3829952d11dd8fc8c9f,7e54ef51c48db3829952d11dd8fc8c9f,1.000
exact,23e5851f1afe9ff78e677a8a63d841b3,23e5851f1afe9ff78e677a8a63d841b3,1.000
exact,ed0ab769eaa5d0167fe99f93863aa4d1,ed0ab769eaa5d0167fe99f93863aa4d1,1.000
exact,8d669fa10ada3eeea0863b253953c2d9,8d669fa10ada3eeea0863b253953c2d9,1.000
exact,3f9a340c61ddc970d24051f9672ce557,3f9a340c61ddc970d24051f9672ce557,1.000
exact,1fa5228f72728987345cbbff6c5ac973,1fa5228f72728987345cbbff6c5ac973,1.000
exact,c6e05dc552549f021f2e47dbfa152640,c6e05dc552549f021f2e47dbfa152640,1.000
exact,325c9a8f72a5ed5938d36ff412a8ba48,325c9a8f72a5ed5938d36ff412a8ba48,1.000
exact,6321dd203b6165f93330440272538019,6321dd203b6165f93330440272538019,1.000
exact,92311b8d3074e8ad9bf6df500353d886,92311b8d3074e8ad9bf6df500353d886,1.000
exact,d90a06a1698ed5dd5f32ff9aeaa982f8,d90a06a1698ed5dd5f32ff9aeaa982f8,1.000
exact,4aee2a3cdbd9acf4e00d7d00997ae0e3,2bde0ba87ba7f5e2dbf8e27651773401,1.000
exact,b0c482c66a08c06995ee81bf232fc929,b0c482c66a08c06995ee81bf232fc929,1.000
exact,d6d429fdc67c301e05c1082a912d6b9c,d6d429fdc67c301e05c1082a912d6b9c,1.000
exact,933fd7c4d9883e7c91017d2763749fc9,933fd7c4d9883e7c91017d2763749fc9,1.000
exact,2d1a4c56f13dc897bfd395b41fd93957,2d1a4c56f13dc897bfd395b41fd93957,1.000
exact,5d0f5c7be6d061ef0d7b3847b294a6d8,5d0f5c7be6d061ef0d7b3847b294a6d8,1.000
exact,b940c5faf26ff7d8a357f74bc232e10b,504271cbc005365ce93624bd21f5fbb7,1.000
exact,cfd96acfc5405473e611e31c76bf0737,cfd96acfc5405473e611e31c76bf0737,1.000
exact,d79397540e64d7e336b6033f1d8b6c54,d79397540e64d7e336b6033f1d8b6c54,1.000
